name	type	label	passes	num_identical	note	strain_name	label_w_strain_name
1953646701	ncbi	Streptococcus_chenjunshii			NR_171502.1	strain Z15 16S ribosomal RNA, partial sequence	gi_2180566477_Streptococcus_catagoni
1953646512	ncbi	Streptococcus_chenjunshii			NR_171408.1	strain Z15 16S ribosomal RNA, partial sequence	gi_1953646701_Streptococcus_chenjunshii
1953646511	ncbi	Streptococcus_chenjunshii			NR_171407.1	strain Z15 16S ribosomal RNA, partial sequence	gi_1953646512_Streptococcus_chenjunshii
1811131565	ncbi	Streptococcus_periodonticum			NR_165747.1	strain ChDC F135 16S ribosomal RNA, partial sequence	gi_1953646511_Streptococcus_chenjunshii
1811131562	ncbi	Streptococcus_gwangjuense			NR_165744.1	strain ChDC B345 16S ribosomal RNA, partial sequence	gi_1811131565_Streptococcus_periodonticum
1811131559	ncbi	Streptococcus_chosunense			NR_165741.1	strain ChDC B353 16S ribosomal RNA, partial sequence	gi_1811131562_Streptococcus_gwangjuense
1811131555	ncbi	Streptococcus_koreensis			NR_165737.1	strain KCOM 2890 16S ribosomal RNA, partial sequence	gi_1811131559_Streptococcus_chosunense
1491516030	ncbi	Streptococcus_azizii			NR_159228.1	strain 12-5202 16S ribosomal RNA, partial sequence	gi_1811131555_Streptococcus_koreensis
1491509609	ncbi	Streptococcus_ovuberis			NR_159140.1	strain VB15-00779 16S ribosomal RNA, partial sequence	gi_1491516030_Streptococcus_azizii
1445136024	ncbi	Streptococcus_ruminantium			NR_158064.1	strain GUT-187 16S ribosomal RNA, partial sequence	gi_1491509609_Streptococcus_ovuberis
1397641793	ncbi	Streptococcus_caviae			NR_156902.1	strain Cavy grass 6 16S ribosomal RNA, partial sequence	gi_1445136024_Streptococcus_ruminantium
1384992323	ncbi	Streptococcus_himalayensis			NR_156072.1	strain HTS2 16S ribosomal RNA, partial sequence	gi_1397641793_Streptococcus_caviae
1315204009	ncbi	Streptococcus_marmotae			NR_152678.1	strain HTS5 16S ribosomal RNA, partial sequence	gi_1384992323_Streptococcus_himalayensis
1277396350	ncbi	Streptococcus_halotolerans			NR_152063.1	strain HTS9 16S ribosomal RNA, partial sequence	gi_1315204009_Streptococcus_marmotae
1277396343	ncbi	Streptococcus_dentiloxodontae			NR_152054.1	strain NUM2404 16S ribosomal RNA, partial sequence	gi_1277396350_Streptococcus_halotolerans
1277396266	ncbi	Streptococcus_pantholopis			NR_151977.1	strain TA 26 16S ribosomal RNA, partial sequence	gi_1277396343_Streptococcus_dentiloxodontae
1227086052	ncbi	Streptococcus_oricebi			NR_148589.1	strain M8 16S ribosomal RNA, partial sequence	gi_1277396266_Streptococcus_pantholopis
1199303385	ncbi	Streptococcus_caprae			NR_147736.1	strain DICM07-02790-1C 16S ribosomal RNA, partial sequence	gi_1227086052_Streptococcus_oricebi
1146059218	ncbi	Streptococcus_panodentis			NR_145950.1	strain TKU50 16S ribosomal RNA, partial sequence	gi_1199303385_Streptococcus_caprae
1033657129	ncbi	Streptococcus_pharyngis			NR_137219.1	strain DICM10-00796B 16S ribosomal RNA, partial sequence	gi_1146059218_Streptococcus_panodentis
961555221	ncbi	Streptococcus_cuniculi			NR_134190.1	strain : NED12-00049-6B 16S ribosomal RNA, partial sequence	gi_1033657129_Streptococcus_pharyngis
959495018	ncbi	Streptococcus_phocae			NR_133868.1	subsp. salmonis strain C-4 16S ribosomal RNA, partial sequence	gi_961555221_Streptococcus_cuniculi
699005309	ncbi	Streptococcus_saliviloxodontae			NR_126178.1	strain NUM 6306 16S ribosomal RNA, partial sequence	gi_959495018_Streptococcus_phocae
699005308	ncbi	Streptococcus_loxodontisalivarius			NR_126177.1	strain NUM 6304 16S ribosomal RNA, partial sequence	gi_699005309_Streptococcus_saliviloxodontae
645322121	ncbi	Streptococcus_alactolyticus			NR_118941.1	strain NCDO 1091 16S ribosomal RNA, partial sequence	gi_699005308_Streptococcus_loxodontisalivarius
645321326	ncbi	Streptococcus_constellatus			NR_118319.1	subsp. viborgensis SK1359 16S ribosomal RNA, partial sequence	gi_645322121_Streptococcus_alactolyticus
645321325	ncbi	Streptococcus_constellatus			NR_118318.1	subsp. pharyngis SK1060 = CCUG 46377 16S ribosomal RNA, partial sequence	gi_645321326_Streptococcus_constellatus
645321286	ncbi	Streptococcus_anginosus			NR_118289.1	16S ribosomal RNA, partial sequence	gi_645321325_Streptococcus_constellatus
645320869	ncbi	Streptococcus_hongkongensis			NR_117974.1	strain HKU30 16S ribosomal RNA, partial sequence	gi_645321286_Streptococcus_anginosus
645320150	ncbi	Streptococcus_lactarius			NR_117425.1	strain MV1 16S ribosomal RNA, partial sequence	gi_645320869_Streptococcus_hongkongensis
645320084	ncbi	Streptococcus_danieliae			NR_117375.1	strain ERD01G 16S ribosomal RNA, partial sequence	gi_645320150_Streptococcus_lactarius
636559030	ncbi	Streptococcus_porci			NR_115087.1	strain 2923-03 16S ribosomal RNA, partial sequence	gi_645320084_Streptococcus_danieliae
636558795	ncbi	Streptococcus_ferus			NR_114852.1	strain 8S1 16S ribosomal RNA, partial sequence	gi_636559030_Streptococcus_porci
631252375	ncbi	Streptococcus_troglodytae			NR_113573.1	strain TKU 31 16S ribosomal RNA, partial sequence	gi_636558795_Streptococcus_ferus
631252363	ncbi	Streptococcus_dentasini			NR_113561.1	strain NUM 1808 16S ribosomal RNA, partial sequence	gi_631252375_Streptococcus_troglodytae
631252362	ncbi	Streptococcus_orisasini			NR_113560.1	strain NUM 1801 16S ribosomal RNA, partial sequence	gi_631252363_Streptococcus_dentasini
631251762	ncbi	Streptococcus_fryi			NR_112960.1	strain PAGU 653 16S ribosomal RNA, partial sequence	gi_631252362_Streptococcus_orisasini
631251721	ncbi	Streptococcus_ursoris			NR_112919.1	strain NUM 1615 16S ribosomal RNA, partial sequence	gi_631251762_Streptococcus_fryi
631251633	ncbi	Streptococcus_dentapri			NR_112831.1	strain NUM 1529 16S ribosomal RNA, partial sequence	gi_631251721_Streptococcus_ursoris
566084933	ncbi	Streptococcus_porcorum			NR_108477.1	strain 682/03 16S ribosomal RNA, partial sequence	gi_631251633_Streptococcus_dentapri
526641946	ncbi	Streptococcus_cristatus			NR_103943.1	AS 1.3089 16S ribosomal RNA, partial sequence	gi_566084933_Streptococcus_porcorum
343206312	ncbi	Streptococcus_gallolyticus			NR_044904.1	strain ACM 3611 16S ribosomal RNA, partial sequence	gi_526641946_Streptococcus_cristatus
343203761	ncbi	Streptococcus_pseudoporcinus			NR_043704.1	LQ 940-04 16S ribosomal RNA, partial sequence	gi_343206312_Streptococcus_gallolyticus
343202506	ncbi	Streptococcus_constellatus			NR_042833.1	subsp. pharyngis strain MM9889a 16S ribosomal RNA, partial sequence	gi_343203761_Streptococcus_pseudoporcinus
343200773	ncbi	Streptococcus_dentirousetti			NR_041460.1	strain NUM 1303 16S ribosomal RNA, partial sequence	gi_343202506_Streptococcus_constellatus
343200368	ncbi	Streptococcus_orisuis			NR_041055.1	strain NUM 1001 16S ribosomal RNA, partial sequence	gi_343200773_Streptococcus_dentirousetti
343198966	ncbi	Streptococcus_caballi			NR_044190.1	strain 151 16S ribosomal RNA, partial sequence	gi_343200368_Streptococcus_orisuis
343198965	ncbi	Streptococcus_henryi			NR_044189.1	strain 126 16S ribosomal RNA, partial sequence	gi_343198966_Streptococcus_caballi
343198648	ncbi	Streptococcus_massiliensis			NR_043173.1	strain 4401825 16S ribosomal RNA, partial sequence	gi_343198965_Streptococcus_henryi
310975232	ncbi	Streptococcus_lutetiensis			NR_037096.1	strain HDP90246 16S ribosomal RNA, partial sequence	gi_343198648_Streptococcus_massiliensis
224581432	ncbi	Streptococcus_pseudopneumoniae			NR_027214.1	strain 108 16S ribosomal RNA, partial sequence	gi_310975232_Streptococcus_lutetiensis
974142298	ncbi	Streptococcus_tangierensis			NR_134818.1	strain CCMM B832 16S ribosomal RNA, partial sequence	gi_224581432_Streptococcus_pseudopneumoniae
974142297	ncbi	Streptococcus_cameli			NR_134817.1	strain CCMM B834 16S ribosomal RNA, partial sequence	gi_974142298_Streptococcus_tangierensis
961555223	ncbi	Streptococcus_rifensis			NR_134192.1	strain CCMM B833 16S ribosomal RNA, partial sequence	gi_974142297_Streptococcus_cameli
961555222	ncbi	Streptococcus_moroccensis			NR_134191.1	strain CCMM B831 16S ribosomal RNA, partial sequence	gi_961555223_Streptococcus_rifensis
645322192	ncbi	Streptococcus_thermophilus			NR_118998.1	strain DSM 20617 16S ribosomal RNA, partial sequence	gi_961555222_Streptococcus_moroccensis
645322122	ncbi	Streptococcus_vestibularis			NR_118942.1	ATCC 49124 strain NCTC 12166 16S ribosomal RNA, partial sequence	gi_645322192_Streptococcus_thermophilus
645322118	ncbi	Streptococcus_pneumoniae			NR_118939.1	strain NCTC 7465 16S ribosomal RNA, partial sequence	gi_645322122_Streptococcus_vestibularis
645322117	ncbi	Streptococcus_intermedius			NR_118938.1	strain NCTC 11324 16S ribosomal RNA, partial sequence	gi_645322118_Streptococcus_pneumoniae
645322115	ncbi	Streptococcus_anginosus			NR_118937.1	strain NCTC 10713 16S ribosomal RNA, partial sequence	gi_645322117_Streptococcus_intermedius
645322114	ncbi	Streptococcus_sobrinus			NR_118935.1	strain DSM 20742 16S ribosomal RNA, partial sequence	gi_645322115_Streptococcus_anginosus
